"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new branch","74","createNewBranchTest","VCS REST API TESTS","Mon Dec 09 07:34:20 GMT 2024","passed","Mon Dec 09 07:34:20 GMT 2024","org.cvs.tests.api.BranchesApiTest","REST API POSITIVE","org.cvs.tests.api.BranchesApiTest","createNewBranchTest"
"Delete Repository and validate","5168","deleteRepositoryTest","VCS REST API TESTS","Mon Dec 09 07:34:20 GMT 2024","passed","Mon Dec 09 07:34:25 GMT 2024","org.cvs.tests.api.RepositoriesApiTest","REST API POSITIVE","org.cvs.tests.api.RepositoriesApiTest","deleteRepositoryTest"
"Delete branch","70","deleteBranchTest","VCS REST API TESTS","Mon Dec 09 07:34:20 GMT 2024","passed","Mon Dec 09 07:34:20 GMT 2024","org.cvs.tests.api.BranchesApiTest","REST API POSITIVE","org.cvs.tests.api.BranchesApiTest","deleteBranchTest"
"Create new Repository and validate","5426","createNewRepositoryTest","VCS REST API TESTS","Mon Dec 09 07:34:20 GMT 2024","passed","Mon Dec 09 07:34:25 GMT 2024","org.cvs.tests.api.RepositoriesApiTest","REST API POSITIVE","org.cvs.tests.api.RepositoriesApiTest","createNewRepositoryTest"
