"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","loginAndGetCookie","VCS TESTS","Sun Dec 08 16:37:44 GMT 2024","broken","Sun Dec 08 16:37:44 GMT 2024","org.cvs.tests.BranchTest","UI POSITIVE","org.cvs.tests.BranchTest","loginAndGetCookie"
"Create new branch and validate","0","createBranchTest","VCS TESTS","Sun Dec 08 16:37:44 GMT 2024","skipped","Sun Dec 08 16:37:44 GMT 2024","org.cvs.tests.BranchTest","UI POSITIVE","org.cvs.tests.BranchTest","createBranchTest"
"Merge PR and validate","11005","mergePRTest","VCS TESTS","Sun Dec 08 16:37:17 GMT 2024","failed","Sun Dec 08 16:37:28 GMT 2024","org.cvs.tests.MergeRequestTest","UI POSITIVE","org.cvs.tests.MergeRequestTest","mergePRTest"
"Create merge request to master and validate","11273","createMergeRequestTest","VCS TESTS","Sun Dec 08 16:37:17 GMT 2024","failed","Sun Dec 08 16:37:29 GMT 2024","org.cvs.tests.MergeRequestTest","UI POSITIVE","org.cvs.tests.MergeRequestTest","createMergeRequestTest"
"Add commit to the branch and validate","11325","addCommitTest","VCS TESTS","Sun Dec 08 16:37:17 GMT 2024","failed","Sun Dec 08 16:37:29 GMT 2024","org.cvs.tests.CommitTest","UI POSITIVE","org.cvs.tests.CommitTest","addCommitTest"
