"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Dec 08 15:43:58 GMT 2024","Sun Dec 08 15:43:58 GMT 2024","1","VCS TESTS","UI POSITIVE","org.cvs.tests.BranchTest","org.cvs.tests.BranchTest","createBranchTest","createBranchTest","Create new branch and validate"
"failed","Sun Dec 08 15:43:38 GMT 2024","Sun Dec 08 15:43:49 GMT 2024","11475","VCS TESTS","UI POSITIVE","org.cvs.tests.CommitTest","org.cvs.tests.CommitTest","addCommitTest","addCommitTest","Add commit to the branch and validate"
"broken","Sun Dec 08 15:43:58 GMT 2024","Sun Dec 08 15:43:58 GMT 2024","0","VCS TESTS","UI POSITIVE","org.cvs.tests.BranchTest","org.cvs.tests.BranchTest","loginAndGetCookie","loginAndGetCookie",""
"failed","Sun Dec 08 15:43:38 GMT 2024","Sun Dec 08 15:43:49 GMT 2024","11297","VCS TESTS","UI POSITIVE","org.cvs.tests.MergeRequestTest","org.cvs.tests.MergeRequestTest","createMergeRequestTest","createMergeRequestTest","Create merge request to master and validate"
"failed","Sun Dec 08 15:43:38 GMT 2024","Sun Dec 08 15:43:49 GMT 2024","11069","VCS TESTS","UI POSITIVE","org.cvs.tests.MergeRequestTest","org.cvs.tests.MergeRequestTest","mergePRTest","mergePRTest","Merge PR and validate"
