"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 08 16:09:44 GMT 2024","Sun Dec 08 16:09:55 GMT 2024","11328","VCS TESTS","UI POSITIVE","org.cvs.tests.MergeRequestTest","org.cvs.tests.MergeRequestTest","createMergeRequestTest","createMergeRequestTest","Create merge request to master and validate"
"broken","Sun Dec 08 16:10:10 GMT 2024","Sun Dec 08 16:10:10 GMT 2024","1","VCS TESTS","UI POSITIVE","org.cvs.tests.BranchTest","org.cvs.tests.BranchTest","loginAndGetCookie","loginAndGetCookie",""
"failed","Sun Dec 08 16:09:44 GMT 2024","Sun Dec 08 16:09:55 GMT 2024","11047","VCS TESTS","UI POSITIVE","org.cvs.tests.MergeRequestTest","org.cvs.tests.MergeRequestTest","mergePRTest","mergePRTest","Merge PR and validate"
"skipped","Sun Dec 08 16:10:10 GMT 2024","Sun Dec 08 16:10:10 GMT 2024","0","VCS TESTS","UI POSITIVE","org.cvs.tests.BranchTest","org.cvs.tests.BranchTest","createBranchTest","createBranchTest","Create new branch and validate"
"failed","Sun Dec 08 16:09:44 GMT 2024","Sun Dec 08 16:09:55 GMT 2024","11296","VCS TESTS","UI POSITIVE","org.cvs.tests.CommitTest","org.cvs.tests.CommitTest","addCommitTest","addCommitTest","Add commit to the branch and validate"
