"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete Repository and validate","6100","deleteRepositoryTest","VCS REST API TESTS","Mon Dec 09 07:00:03 GMT 2024","passed","Mon Dec 09 07:00:09 GMT 2024","org.cvs.tests.api.RepositoriesApiTest","REST API POSITIVE","org.cvs.tests.api.RepositoriesApiTest","deleteRepositoryTest"
"Create new Repository and validate","6177","createNewRepositoryTest","VCS REST API TESTS","Mon Dec 09 07:00:03 GMT 2024","passed","Mon Dec 09 07:00:09 GMT 2024","org.cvs.tests.api.RepositoriesApiTest","REST API POSITIVE","org.cvs.tests.api.RepositoriesApiTest","createNewRepositoryTest"
"Create new branch","77","createNewBranchTest","VCS REST API TESTS","Mon Dec 09 07:00:03 GMT 2024","passed","Mon Dec 09 07:00:03 GMT 2024","org.cvs.tests.api.BranchesApiTest","REST API POSITIVE","org.cvs.tests.api.BranchesApiTest","createNewBranchTest"
"Delete branch","77","deleteBranchTest","VCS REST API TESTS","Mon Dec 09 07:00:03 GMT 2024","passed","Mon Dec 09 07:00:03 GMT 2024","org.cvs.tests.api.BranchesApiTest","REST API POSITIVE","org.cvs.tests.api.BranchesApiTest","deleteBranchTest"
