"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create new Repository and validate","5112","createNewRepositoryTest","VCS REST API TESTS","Mon Dec 09 06:40:30 GMT 2024","passed","Mon Dec 09 06:40:35 GMT 2024","org.cvs.tests.api.RepositoriesApiTest","REST API POSITIVE","org.cvs.tests.api.RepositoriesApiTest","createNewRepositoryTest"
"Delete branch","52","deleteBranchTest","VCS REST API TESTS","Mon Dec 09 06:40:30 GMT 2024","passed","Mon Dec 09 06:40:30 GMT 2024","org.cvs.tests.api.BranchesApiTest","REST API POSITIVE","org.cvs.tests.api.BranchesApiTest","deleteBranchTest"
"Create new branch","53","createNewBranchTest","VCS REST API TESTS","Mon Dec 09 06:40:30 GMT 2024","passed","Mon Dec 09 06:40:30 GMT 2024","org.cvs.tests.api.BranchesApiTest","REST API POSITIVE","org.cvs.tests.api.BranchesApiTest","createNewBranchTest"
"Delete Repository and validate","4835","deleteRepositoryTest","VCS REST API TESTS","Mon Dec 09 06:40:30 GMT 2024","passed","Mon Dec 09 06:40:34 GMT 2024","org.cvs.tests.api.RepositoriesApiTest","REST API POSITIVE","org.cvs.tests.api.RepositoriesApiTest","deleteRepositoryTest"
