"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete branch","43","deleteBranchTest","VCS REST API TESTS","Sun Dec 08 21:16:31 GMT 2024","passed","Sun Dec 08 21:16:31 GMT 2024","org.cvs.tests.api.BranchesApiTest","REST API POSITIVE","org.cvs.tests.api.BranchesApiTest","deleteBranchTest"
"Create new Repository and validate","5185","createNewRepositoryTest","VCS REST API TESTS","Sun Dec 08 21:16:31 GMT 2024","passed","Sun Dec 08 21:16:36 GMT 2024","org.cvs.tests.api.RepositoriesApiTest","REST API POSITIVE","org.cvs.tests.api.RepositoriesApiTest","createNewRepositoryTest"
"Delete Repository and validate","4870","deleteRepositoryTest","VCS REST API TESTS","Sun Dec 08 21:16:31 GMT 2024","passed","Sun Dec 08 21:16:36 GMT 2024","org.cvs.tests.api.RepositoriesApiTest","REST API POSITIVE","org.cvs.tests.api.RepositoriesApiTest","deleteRepositoryTest"
"Create new branch","42","createNewBranchTest","VCS REST API TESTS","Sun Dec 08 21:16:31 GMT 2024","passed","Sun Dec 08 21:16:31 GMT 2024","org.cvs.tests.api.BranchesApiTest","REST API POSITIVE","org.cvs.tests.api.BranchesApiTest","createNewBranchTest"
